Name,Genres,Type,Episodes,Aired,Members,Score
Groove Adventure Rave,"Adventure, Comedy, Fantasy, Romance",TV,51,"Oct 13, 2001 to Sep 28, 2002",97932,7.22
Harukanaru Toki no Naka de: Hachiyou Shou,"Fantasy, Romance",TV,26,"Oct 6, 2004 to Mar 30, 2005",24220,7.0
Ichigo 100%,"Comedy, Romance, Ecchi",TV,12,"Apr 6, 2005 to Jun 22, 2005",112888,6.63
InuYasha,"Action, Adventure, Fantasy, Romance",TV,167,"Oct 16, 2000 to Sep 13, 2004",765524,7.86
Konjiki no Gash Bell!!,"Adventure, Comedy, Supernatural",TV,150,"Apr 6, 2003 to Mar 26, 2006",122070,7.54
Kyou kara Maou!,"Adventure, Comedy, Fantasy",TV,78,"Apr 3, 2004 to Feb 25, 2006",110465,7.63
Madlax,"Drama, Mystery, Supernatural",TV,26,"Apr 6, 2004 to Sep 28, 2004",40639,7.03
Jungle wa Itsumo Hare nochi Guu,"Comedy, Slice of Life",TV,26,"Apr 3, 2001 to Sep 25, 2001",33383,7.81
Jungle wa Itsumo Hare nochi Guu Deluxe,"Comedy, Slice of Life",OVA,6,"Aug 25, 2002 to Jan 25, 2003",12229,7.79
Jungle wa Itsumo Hare nochi Guu Final,"Award Winning, Comedy, Slice of Life",OVA,7,"Dec 21, 2003 to Jun 25, 2004",9889,7.62
Hoshi no Koe,"Award Winning, Drama, Romance, Sci-Fi",OVA,1,"Feb 2, 2002",152141,7.12
Ikkitousen,Ecchi,TV,13,"Jul 30, 2003 to Oct 22, 2003",159045,6.39
Hitsuji no Uta,"Drama, Horror",OVA,4,"May 25, 2003 to Feb 25, 2004",17334,6.15
Happy☆Lesson,"Comedy, Romance",OVA,5,"Jul 19, 2001 to May 23, 2003",11553,6.6
Happy☆Lesson (TV),"Comedy, Drama, Romance",TV,13,"Apr 1, 2002 to Jun 30, 2002",27610,6.61
Happy☆Lesson Advance,"Comedy, Romance",TV,13,"Jul 3, 2003 to Sep 28, 2003",14767,6.77
Happy☆Lesson The Final,"Comedy, Romance",OVA,3,"May 25, 2004 to Oct 22, 2004",9405,6.76
Hajime no Ippo,Sports,TV,75,"Oct 4, 2000 to Mar 27, 2002",546859,8.76
Hajime no Ippo: Champion Road,Sports,Special,1,"Apr 18, 2003",128893,8.26
Hajime no Ippo: Mashiba vs. Kimura,Sports,OVA,1,"Sep 5, 2003",103049,8.23
Gunparade March: Arata Naru Kougunka,"Action, Drama, Romance, Sci-Fi",TV,12,"Feb 6, 2003 to Apr 24, 2003",16232,6.73
Gungrave,"Action, Drama, Sci-Fi",TV,26,"Oct 7, 2003 to Mar 30, 2004",183979,7.83
Golden Boy,"Adventure, Comedy, Ecchi",OVA,6,"Oct 27, 1995 to Jun 28, 1996",374385,8.04
Bleach,"Action, Adventure, Fantasy",TV,366,"Oct 5, 2004 to Mar 27, 2012",1856976,7.92
Hellsing,"Action, Horror, Supernatural",TV,13,"Oct 11, 2001 to Jan 17, 2002",695560,7.49
Gad Guard,"Action, Adventure, Sci-Fi",TV,26,"Apr 16, 2003 to Sep 25, 2003",13745,6.65
Noir,"Action, Drama, Mystery",TV,26,"Apr 6, 2001 to Sep 28, 2001",109910,7.29
Mahoutsukai ni Taisetsu na Koto,Slice of Life,TV,12,"Jan 10, 2003 to Mar 28, 2003",26391,6.71
Kiddy Grade,"Action, Sci-Fi, Ecchi",TV,24,"Oct 9, 2002 to Mar 19, 2003",45190,7.19
Love♥Love?,"Comedy, Romance, Ecchi",TV,9,"May 4, 2004 to Jun 29, 2004",21642,5.85
Mahoromatic: Automatic Maiden,"Comedy, Romance, Sci-Fi, Ecchi",TV,12,"Oct 6, 2001 to Dec 29, 2001",61752,7.15
Mahoromatic: Motto Utsukushii Mono,"Comedy, Drama, Romance, Sci-Fi, Ecchi",TV,14,"Sep 26, 2002 to Jan 16, 2003",31978,7.14
Viewtiful Joe,"Action, Comedy, Sci-Fi",TV,51,"Oct 2, 2004 to Sep 24, 2005",11499,6.74
Kyougoku Natsuhiko: Kousetsu Hyaku Monogatari,"Fantasy, Horror, Mystery, Supernatural",TV,13,"Oct 4, 2003 to Dec 27, 2003",36671,7.1
Animal Yokochou,"Adventure, Comedy, Fantasy",TV,51,"Oct 4, 2005 to Sep 26, 2006",3036,7.26
Akane Maniax,"Comedy, Romance",OVA,3,"Nov 25, 2004 to Aug 26, 2005",18738,5.73
Angel Heart,"Action, Drama, Mystery, Romance",TV,50,"Oct 4, 2005 to Sep 26, 2006",17393,7.25
Akage no Anne,Drama,TV,50,"Jan 7, 1979 to Dec 30, 1979",30990,7.77
Area 88 (TV),"Action, Drama, Romance",TV,12,"Jan 9, 2004 to Mar 26, 2004",13965,7.0
Argento Soma,"Action, Adventure, Drama, Sci-Fi",TV,25,"Oct 6, 2000 to Mar 22, 2001",26814,6.76
B'T X,"Adventure, Sci-Fi",TV,25,"Apr 6, 1996 to Sep 21, 1996",11633,7.03
Grappler Baki (TV),Sports,TV,24,"Jan 9, 2001 to Jun 26, 2001",130653,7.47
Bakuten Shoot Beyblade,"Action, Adventure, Comedy, Sports",TV,51,"Jan 8, 2001 to Dec 24, 2001",109314,6.76
Comic Party,"Comedy, Drama",TV,13,"Apr 2, 2001 to Jun 25, 2001",19420,6.58
Seikai no Monshou,"Action, Romance, Sci-Fi",TV,13,"Jan 3, 1999 to Mar 28, 1999",50991,7.64
D.C.S.S: Da Capo Second Season,"Comedy, Drama, Romance, Supernatural",TV,26,"Jul 2, 2005 to Dec 24, 2005",33209,6.95
Dear Boys,"Drama, Sports",TV,26,"Apr 7, 2003 to Sep 29, 2003",21602,6.78
Di Gi Charat,"Comedy, Fantasy, Sci-Fi",TV,16,"Nov 30, 1999 to Dec 24, 1999",23884,6.8
Divergence Eve,"Adventure, Comedy, Drama, Sci-Fi",TV,13,"Jul 2, 2003 to Sep 24, 2003",12551,6.0
Divergence Eve 2: Misaki Chronicles,"Adventure, Drama, Sci-Fi",TV,13,"Jan 3, 2004 to Mar 27, 2004",7420,6.41
Dragon Drive,"Action, Adventure, Comedy, Fantasy, Sci-Fi",TV,38,"Jul 4, 2002 to Mar 27, 2003",22897,6.69
Grenadier: Hohoemi no Senshi,"Action, Adventure, Comedy, Ecchi",TV,12,"Oct 14, 2004 to Jan 13, 2005",54703,6.69
.hack//Tasogare no Udewa Densetsu,"Adventure, Comedy, Fantasy",TV,12,"Jan 9, 2003 to Mar 27, 2003",66590,6.56
.hack//Liminality,Mystery,OVA,4,"Jun 20, 2002 to Apr 10, 2003",33019,6.59
3x3 Eyes,"Action, Fantasy, Horror, Romance",OVA,4,"Jul 25, 1991 to Mar 19, 1992",27314,6.71
Cinderella Boy,"Action, Adventure, Comedy, Mystery",TV,13,"Jun 21, 2003 to Sep 13, 2003",7415,6.28
Mirai Shounen Conan,"Adventure, Drama, Sci-Fi",TV,26,"Apr 4, 1978 to Oct 31, 1978",47570,8.1
Aa! Megami-sama!: Chichaitte Koto wa Benri da ne,"Comedy, Supernatural",TV,48,"Apr 6, 1998 to Mar 29, 1999",21920,6.89
Aa! Megami-sama! Movie,"Comedy, Romance, Supernatural",Movie,1,"Oct 21, 2000",42124,7.54
Abashiri Ikka,"Action, Comedy",OVA,4,"May 21, 1991 to Nov 21, 1991",4584,5.28
Abenobashi Mahou☆Shoutengai,"Award Winning, Comedy, Fantasy, Ecchi",TV,13,"Apr 4, 2002 to Jun 27, 2002",86979,7.23
Kerokko Demetan,"Comedy, Fantasy",TV,39,"Jan 2, 1973 to Sep 25, 1973",1393,6.02
Zettai Shounen,"Drama, Fantasy, Mystery, Sci-Fi",TV,26,"May 21, 2005 to Nov 19, 2005",19967,6.85
Akahori Gedou Hour Rabuge,Comedy,TV,13,"Jul 5, 2005 to Sep 27, 2005",5926,6.13
"Chiisana Obake: Acchi, Kocchi, Socchi","Comedy, Supernatural",TV,50,"Apr 9, 1991 to Apr 7, 1992",1829,5.99
Ace wo Nerae!,"Drama, Romance, Sports",TV,26,"Oct 5, 1973 to Mar 29, 1974",12704,7.11
Ace wo Nerae! Final Stage,"Drama, Sports",OVA,12,"Oct 25, 1989 to Apr 25, 1990",2377,6.85
Ace wo Nerae! (1979),"Drama, Romance, Sports",Movie,1,"Sep 8, 1979",4273,6.93
Ace wo Nerae! 2,"Drama, Sports",OVA,13,"Jul 25, 1988 to Oct 25, 1988",3111,7.17
Xiao Qian,"Action, Drama, Fantasy, Romance",Movie,1,"Jul 31, 1997",3121,6.34
Nageki no Kenkou Yuuryouji,"Comedy, Girls Love, Hentai",OVA,3,"Aug 5, 1994 to Oct 13, 1995",5675,6.14
Final Fantasy VII: Advent Children,"Action, Fantasy",Movie,1,"Sep 14, 2005",209747,7.72
Hand Maid May,"Comedy, Romance, Sci-Fi, Ecchi",TV,10,"Jul 26, 2000 to Sep 27, 2000",29291,6.69
Happy World!,"Comedy, Fantasy, Romance, Ecchi",OVA,3,"Dec 13, 2002 to Jun 27, 2003",6197,5.96
A Kite,"Action, Drama, Hentai",OVA,2,"Feb 25, 1998 to Oct 25, 1998",66821,6.54
Najica Dengeki Sakusen,"Action, Comedy, Sci-Fi, Ecchi",TV,12,"Oct 5, 2001 to Dec 27, 2001",14802,5.97
Paradise Kiss,"Drama, Romance",TV,12,"Oct 14, 2005 to Dec 30, 2005",214073,7.85
Mousou Dairinin,"Avant Garde, Drama, Mystery, Supernatural, Suspense",TV,13,"Feb 3, 2004 to May 18, 2004",396950,7.67
Kidou Keisatsu Patlabor: On Television,"Comedy, Sci-Fi",TV,47,"Oct 11, 1989 to Sep 26, 1990",36549,7.67
Peach Girl,"Drama, Romance",TV,25,"Jan 8, 2005 to Jun 25, 2005",100034,6.94
Petshop of Horrors,"Horror, Mystery, Supernatural",TV,4,"Mar 2, 1999 to Mar 23, 1999",65244,7.24
Puchi Pri*Yucie,"Comedy, Fantasy",TV,26,"Sep 30, 2002 to Mar 24, 2003",14690,7.44
Piano (TV),"Drama, Romance, Slice of Life",TV,10,"Nov 11, 2002 to Jan 13, 2003",8755,5.98
Planetes,"Award Winning, Drama, Romance, Sci-Fi",TV,26,"Oct 4, 2003 to Apr 17, 2004",243507,8.26
Midori no Hibi,"Comedy, Drama, Romance, Ecchi",TV,13,"Apr 4, 2004 to Jun 27, 2004",163144,7.23
Mahoujin Guruguru,"Adventure, Comedy, Fantasy",TV,45,"Oct 13, 1994 to Sep 14, 1995",10598,7.6
Dokidoki♡Densetsu: Mahoujin Guruguru,"Adventure, Comedy, Fantasy",TV,38,"Apr 4, 2000 to Dec 26, 2000",4012,7.1
Mama wa Shougaku 4 Nensei,"Award Winning, Comedy, Drama, Sci-Fi",TV,51,"Jan 10, 1992 to Dec 25, 1992",6484,7.41
Marmalade Boy,"Comedy, Drama, Romance",TV,76,"Mar 13, 1994 to Sep 3, 1995",53758,7.44
Matantei Loki Ragnarok,"Comedy, Mystery, Supernatural",TV,26,"Apr 5, 2003 to Sep 27, 2003",37978,7.25
Ginyuu Mokushiroku Meine Liebe,Fantasy,TV,13,"Nov 4, 2004 to Feb 3, 2005",12782,6.43
Psychic Academy,"Comedy, Romance, Supernatural",TV,24,"Mar 29, 2002 to Sep 13, 2002",11321,6.19
Versailles no Bara,"Drama, Romance",TV,40,"Oct 10, 1979 to Sep 3, 1980",92385,8.33
Serial Experiments Lain,"Avant Garde, Award Winning, Drama, Mystery, Sci-Fi, Supernatural",TV,13,"Jul 6, 1998 to Sep 28, 1998",719885,8.08
Mutsu Enmei Ryuu Gaiden: Shura no Toki,Action,TV,26,"Apr 6, 2004 to Sep 28, 2004",23885,7.55
Spiral: Suiri no Kizuna,"Drama, Mystery",TV,25,"Oct 1, 2002 to Mar 25, 2003",51663,7.22
Starship Operators,"Drama, Sci-Fi",TV,13,"Jan 5, 2005 to Mar 30, 2005",15422,7.01
Tsukuyomi: Moon Phase,"Comedy, Fantasy, Romance",TV,25,"Oct 5, 2004 to Mar 29, 2005",74516,6.94
Futatsu no Spica,"Drama, Sci-Fi, Supernatural",TV,20,"Nov 1, 2003 to Mar 27, 2004",10305,7.37
Eikoku Koi Monogatari Emma,"Drama, Romance",TV,12,"Apr 3, 2005 to Jun 19, 2005",55765,7.62
W: Wish,"Drama, Romance, Slice of Life",TV,13,"Oct 3, 2004 to Dec 26, 2004",15317,6.14
Wild Arms: Twilight Venom,"Action, Adventure, Fantasy, Sci-Fi",TV,22,"Oct 18, 1999 to Mar 27, 2000",7999,6.67
Binzume Yousei,"Comedy, Fantasy",TV,13,"Oct 4, 2003 to Dec 27, 2003",18743,6.43
Magical Canan,"Drama, Fantasy, Supernatural",TV,13,"Jan 1, 2005 to Mar 26, 2005",5660,6.16
Ojamajo Doremi,"Comedy, Fantasy",TV,51,"Feb 7, 1999 to Jan 30, 2000",52448,7.29
Ojamajo Doremi Sharp,"Comedy, Fantasy",TV,49,"Feb 6, 2000 to Jan 28, 2001",20671,7.43
Motto! Ojamajo Doremi,"Comedy, Fantasy",TV,50,"Feb 4, 2001 to Jan 27, 2002",20498,7.44
Ojamajo Doremi Dokkaan!,"Comedy, Fantasy",TV,51,"Feb 3, 2002 to Jan 26, 2003",16119,7.72
UG☆Ultimate Girls,"Comedy, Sci-Fi, Ecchi",TV,12,"Jan 10, 2005 to Mar 28, 2005",9451,5.65
Shakugan no Shana,"Action, Drama, Fantasy, Romance",TV,24,"Oct 6, 2005 to Mar 23, 2006",525080,7.45
Fate/stay night,"Action, Fantasy, Romance, Supernatural",TV,24,"Jan 7, 2006 to Jun 17, 2006",914432,7.28
Bokusatsu Tenshi Dokuro-chan,"Comedy, Ecchi",OVA,4,"Mar 13, 2005 to Sep 22, 2005",193846,6.54
"Iriya no Sora, UFO no Natsu","Drama, Romance, Sci-Fi",OVA,6,"Feb 25, 2005 to Jun 29, 2005",25346,6.93
I'll/CKBC,"Action, Sports",OVA,2,"Dec 18, 2002 to Mar 26, 2003",5420,6.19
Himiko-den,"Adventure, Drama, Fantasy, Supernatural",TV,12,"Jan 7, 1999 to Apr 1, 1999",5994,6.17
Memories Off,"Drama, Romance",OVA,3,"Nov 21, 2001 to Mar 6, 2002",6466,5.78
Memories Off 2nd,"Drama, Romance",OVA,3,"Jan 22, 2003 to May 21, 2003",3911,6.14
Memories Off 3.5,"Drama, Romance",OVA,4,"May 12, 2004 to Oct 20, 2004",3358,6.13
Gallery Fake,Mystery,TV,37,"Jan 9, 2005 to Sep 25, 2005",14470,7.4
Fake,"Boys Love, Comedy, Mystery, Romance",OVA,1,"Apr 21, 1998",20730,6.5
AIKa,"Action, Adventure, Comedy, Sci-Fi, Ecchi",OVA,7,"Apr 25, 1997 to Apr 25, 1999",33700,5.93
Akazukin Chacha OVA,"Comedy, Fantasy",OVA,3,"Dec 6, 1995 to Mar 6, 1996",2674,7.0
Bible Black,Hentai,OVA,6,"Jul 21, 2001 to Jun 25, 2003",65514,6.57
Boogiepop wa Warawanai,"Avant Garde, Drama, Horror, Mystery, Supernatural",TV,12,"Jan 5, 2000 to Mar 22, 2000",128799,7.16
Burn Up Excess,"Action, Adventure, Comedy, Mystery, Sci-Fi, Ecchi",TV,13,"Dec 12, 1997 to Jul 1, 1998",11116,6.57
Cardcaptor Sakura Movie 1,"Award Winning, Comedy, Drama, Fantasy",Movie,1,"Aug 21, 1999",96711,7.63
Cardcaptor Sakura Movie 2: Fuuin Sareta Card,"Award Winning, Comedy, Drama, Fantasy, Romance",Movie,1,"Jul 15, 2000",111999,8.21
Bannou Bunka Neko-Musume,"Adventure, Comedy, Sci-Fi",OVA,6,"Oct 21, 1992 to May 25, 1994",11937,6.74
Bannou Bunka Neko-Musume DASH!,"Action, Comedy, Romance, Sci-Fi, Ecchi",OVA,12,"Sep 23, 1998 to Dec 23, 1998",5694,6.28
Bannou Bunka Neko-Musume (1998),"Action, Adventure, Comedy, Sci-Fi",TV,12,"Jan 7, 1998 to Mar 25, 1998",7938,6.62
"Elfen Lied: Tooriame nite Arui wa, Shoujo wa Ikani Shite Sono Shinjou ni Itatta ka? - Regenschauer","Drama, Horror, Supernatural, Ecchi",Special,1,"Apr 21, 2005",189007,7.14
eX-Driver,"Action, Adventure, Comedy, Sci-Fi",OVA,6,"Jul 25, 2000 to Sep 25, 2001",10945,6.66
eX-Driver the Movie,"Action, Adventure, Comedy, Sci-Fi",Movie,1,"Apr 20, 2002",5092,6.56
Heppoko Jikken Animation Excel♥Saga,"Comedy, Sci-Fi",TV,26,"Oct 8, 1999 to Mar 31, 2000",106435,7.49
Fushigi Yuugi OVA,"Adventure, Fantasy, Romance",OVA,3,"Oct 25, 1996 to Feb 25, 1997",22731,7.14
Fushigi Yuugi: Dai Ni Bu,"Adventure, Fantasy, Romance",OVA,6,"May 25, 1997 to Oct 25, 1998",20241,7.25
Futari Ecchi,"Comedy, Romance, Ecchi",OVA,4,"Jul 26, 2002 to Jan 22, 2004",35680,6.32
Galaxy Angel,"Comedy, Sci-Fi",TV,24,"Apr 8, 2001 to Sep 30, 2001",28205,7.03
Gantz,"Action, Drama, Horror, Sci-Fi",TV,13,"Apr 13, 2004 to Jun 22, 2004",347630,6.99
Gilgamesh,"Drama, Fantasy, Sci-Fi",TV,26,"Oct 2, 2003 to Mar 18, 2004",39999,6.63
H2,"Comedy, Romance, Sports",TV,41,"Jun 1, 1995 to Mar 21, 1996",9645,7.23
Haibane Renmei,"Drama, Fantasy, Mystery",TV,13,"Oct 10, 2002 to Dec 19, 2002",272068,7.97
Capeta,Sports,TV,52,"Oct 4, 2005 to Sep 26, 2006",26059,7.83
Karas,"Action, Fantasy, Sci-Fi",OVA,6,"Mar 25, 2005 to Oct 26, 2007",63031,7.37
Suzuka,"Drama, Romance, Sports",TV,26,"Jul 7, 2005 to Dec 29, 2005",113681,7.18
Tales of Phantasia The Animation,"Adventure, Fantasy",OVA,4,"Nov 25, 2004 to Feb 24, 2006",22724,6.79
Yuu☆Yuu☆Hakusho,"Action, Fantasy",TV,112,"Oct 10, 1992 to Jan 7, 1995",654301,8.46
Escaflowne,"Adventure, Drama, Fantasy, Romance, Sci-Fi",Movie,1,"Jun 24, 2000",67624,7.06
Ai Yori Aoshi: Enishi,"Comedy, Drama, Romance",TV,12,"Oct 13, 2003 to Dec 29, 2003",58056,7.12
Gantz 2nd Stage,"Action, Drama, Horror, Sci-Fi",TV,13,"Aug 26, 2004 to Nov 18, 2004",158254,7.03
Seikai no Senki,"Action, Romance, Sci-Fi",TV,13,"Apr 14, 2000 to Jul 14, 2000",32911,7.67
Seikai no Senki II,"Action, Romance, Sci-Fi",TV,10,"Jul 11, 2001 to Sep 26, 2001",23125,7.8
Seikai no Senki III,"Action, Romance, Sci-Fi",OVA,2,"Aug 6, 2005",17313,7.65
Seikai no Senki Special,"Action, Romance, Sci-Fi",Special,1,"Jul 4, 2001",3339,7.16
Seihou Bukyou Outlaw Star,"Action, Adventure, Comedy, Sci-Fi",TV,24,"Jan 9, 1998 to Jun 26, 1998",150475,7.84
Rurouni Kenshin: Meiji Kenkaku Romantan - Seisou-hen,"Drama, Romance",OVA,2,"Dec 19, 2001 to Mar 20, 2002",81858,7.97
Otogi Juushi Akazukin OVA,"Adventure, Comedy, Fantasy",OVA,1,"Feb 20, 2005",1927,6.3
Hanaukyou Maid-tai,"Comedy, Romance, Ecchi",TV,12,"Apr 13, 2001 to Jun 29, 2001",31524,6.58
Bastard!! Ankoku no Hakaishin,"Action, Adventure, Comedy, Fantasy, Ecchi",OVA,6,"Aug 25, 1992 to Jun 25, 1993",41181,6.68
Blood: The Last Vampire,"Award Winning, Horror, Supernatural",Movie,1,"Nov 18, 2000",107299,6.88
Buzzer Beater,"Sci-Fi, Sports",TV,13,"Feb 5, 2005 to Apr 30, 2005",14946,6.51
Tantei Gakuen Q,"Comedy, Drama, Mystery",TV,45,"Apr 15, 2003 to Mar 20, 2004",34160,7.73
Final Fantasy VII: Last Order,"Action, Adventure, Drama, Fantasy, Sci-Fi",Special,1,"Sep 14, 2005",65128,7.3
Gun x Sword,"Action, Adventure, Drama, Sci-Fi",TV,26,"Jul 4, 2005 to Dec 26, 2005",75958,7.26
Kore ga Watashi no Goshujinsama,"Comedy, Slice of Life, Ecchi",TV,12,"Apr 8, 2005 to Jul 1, 2005",75814,6.52
Hametsu no Mars,"Horror, Sci-Fi",OVA,1,"Jul 6, 2005",65622,2.22
Tonari no Yamada-kun,"Award Winning, Comedy, Slice of Life",Movie,1,"Jul 17, 1999",45565,7.12
Kurenai no Buta,"Action, Adventure, Award Winning, Comedy, Drama, Romance",Movie,1,"Jul 18, 1992",234087,7.95
Ragnarök The Animation,"Action, Fantasy",TV,26,"Apr 7, 2004 to Sep 29, 2004",48600,6.45
Ranma ½: Chuugoku Nekonron Daikessen! Okite Yaburi no Gekitou-hen!!,"Adventure, Comedy",Movie,1,"Nov 2, 1991",21425,7.23
Samurai Deeper Kyou,"Adventure, Comedy, Supernatural",TV,26,"Jul 2, 2002 to Dec 24, 2002",55226,6.9
Spriggan,"Adventure, Sci-Fi",Movie,1,"Sep 5, 1998",32884,6.67
Stratos 4,"Comedy, Sci-Fi",TV,13,"Jan 5, 2003 to Mar 30, 2003",11702,6.74
Stratos 4 OVA,"Comedy, Sci-Fi",OVA,2,"May 25, 2004 to Aug 1, 2004",3398,6.66
Stratos 4 Advance,"Comedy, Sci-Fi",OVA,6,"Mar 5, 2005 to Jan 27, 2006",3636,6.78
Dirty Pair,"Adventure, Comedy, Sci-Fi",TV,24,"Jul 15, 1985 to Dec 26, 1985",30326,7.2
Shiritsu Araiso Koutougakkou Seitokai Shikkoubu,"Boys Love, Comedy, Sports",OVA,2,"Mar 29, 2002 to Jul 26, 2002",6853,6.36
Final Fantasy,"Action, Adventure, Comedy, Fantasy",OVA,4,"Mar 21, 1994 to Jul 21, 1994",15102,6.11
Kaleido Star,"Comedy, Drama, Fantasy",TV,51,"Apr 3, 2003 to Mar 27, 2004",82978,7.91
Kaleido Star: Aratanaru Tsubasa - Extra Stage,"Adventure, Comedy, Drama",OVA,1,"Sep 24, 2004",13914,7.47
Kaleido Star: Legend of Phoenix - Layla Hamilton Monogatari,"Comedy, Drama",OVA,1,"Dec 11, 2005",14004,7.84
Fullmetal Alchemist: The Conqueror of Shamballa,"Award Winning, Comedy, Drama, Fantasy",Movie,1,"Jul 23, 2005",322398,7.52
Howl no Ugoku Shiro,"Adventure, Award Winning, Drama, Fantasy, Romance",Movie,1,"Nov 20, 2004",1253703,8.66
Iria: Zeiram The Animation,"Action, Adventure, Sci-Fi",OVA,6,"Jun 23, 1994 to Nov 21, 1994",24615,7.07
"Kumo no Mukou, Yakusoku no Basho","Award Winning, Drama, Romance, Sci-Fi",Movie,1,"Nov 20, 2004",211843,7.45
Legend of Lemnear: Kyokuguro no Tsubasa Valkisas,"Action, Adventure, Fantasy",OVA,1,"Jul 25, 1989",7839,5.51
Magic Knight Rayearth,"Adventure, Comedy, Drama, Fantasy",TV,20,"Oct 17, 1994 to Mar 13, 1995",66481,7.47
Perfect Blue,"Avant Garde, Drama, Horror",Movie,1,"Feb 28, 1998",654258,8.54
Phantom The Animation,"Action, Drama",OVA,3,"Feb 27, 2004 to Nov 26, 2004",14106,6.46
RG Veda,"Adventure, Drama, Fantasy",OVA,2,"Jun 1, 1991 to Jun 21, 1992",8376,6.07
Shoujo Kakumei Utena,"Award Winning, Comedy, Drama, Fantasy, Mystery",TV,39,"Apr 2, 1997 to Dec 24, 1997",207627,8.2
Shoujo Kakumei Utena: Adolescence Mokushiroku,"Avant Garde, Drama, Fantasy, Girls Love, Romance",Movie,1,"Aug 14, 1999",50422,7.64
Naruto Movie 1: Dai Katsugeki!! Yuki Hime Shinobu Houjou Dattebayo!,"Action, Adventure, Fantasy",Movie,1,"Aug 21, 2004",286178,7.11
Onegai☆Teacher: Himitsu na Futari,"Comedy, Romance, Sci-Fi, Ecchi",OVA,1,"Oct 25, 2002",47461,7.28
Maria-sama ga Miteru: Haru,"Drama, Girls Love",TV,13,"Jul 4, 2004 to Sep 26, 2004",26998,7.63
Tales of Eternia The Animation,"Adventure, Comedy, Fantasy, Romance",TV,13,"Jan 8, 2001 to Mar 26, 2001",16940,6.19
Weiß Kreuz Glühen,"Action, Drama",TV,13,"Nov 28, 2002 to Mar 20, 2003",10119,6.53
Weiß Kreuz,"Action, Drama",TV,25,"Apr 9, 1998 to Oct 1, 1998",18472,6.69
Tenjou Tenge: The Ultimate Fight,"Adventure, Drama, Romance, Supernatural",OVA,2,"Mar 16, 2005",41707,7.03
InuYasha Movie 4: Guren no Houraijima,"Action, Adventure, Fantasy, Romance",Movie,1,"Dec 23, 2004",91029,7.55
InuYasha Movie 2: Kagami no Naka no Mugenjo,"Action, Adventure, Fantasy, Romance",Movie,1,"Dec 21, 2002",101964,7.67
InuYasha Movie 3: Tenka Hadou no Ken,"Action, Adventure, Fantasy, Romance",Movie,1,"Dec 20, 2003",98458,7.8
InuYasha Movie 1: Toki wo Koeru Omoi,"Action, Adventure, Fantasy, Romance",Movie,1,"Dec 22, 2001",99869,7.56
.hack//Gift,"Comedy, Fantasy",OVA,1,"Nov 16, 2003",20567,6.1
Fantastic Children,"Adventure, Fantasy, Mystery, Romance, Sci-Fi, Suspense",TV,26,"Oct 5, 2004 to Mar 29, 2005",32481,7.53
Gokujou Seitokai,"Comedy, Slice of Life",TV,26,"Apr 7, 2005 to Sep 29, 2005",19602,6.96
Mushishi,"Adventure, Mystery, Slice of Life, Supernatural",TV,26,"Oct 23, 2005 to Jun 19, 2006",793935,8.66
Buttobi!! CPU,"Comedy, Sci-Fi, Ecchi",OVA,3,"Apr 25, 1997 to Sep 26, 1997",9423,6.24
One Piece Movie 01,"Action, Adventure, Fantasy",Movie,1,"Mar 4, 2000",123297,7.09
One Piece Movie 02: Nejimaki-jima no Daibouken,"Action, Adventure, Fantasy",Movie,1,"Mar 3, 2001",92874,7.1
One Piece Movie 03: Chinjuu-jima no Chopper Oukoku,"Action, Adventure, Fantasy",Movie,1,"Mar 2, 2002",81378,6.87
One Piece Movie 04: Dead End no Bouken,"Action, Adventure, Fantasy",Movie,1,"Mar 1, 2003",98400,7.53
One Piece Movie 05: Norowareta Seiken,"Action, Adventure, Fantasy",Movie,1,"Mar 6, 2004",78599,7.13
One Piece Movie 06: Omatsuri Danshaku to Himitsu no Shima,"Action, Adventure, Drama, Fantasy",Movie,1,"Mar 5, 2005",98281,7.74
One Piece Movie 07: Karakuri-jou no Mecha Kyohei,"Action, Adventure, Fantasy",Movie,1,"Mar 4, 2006",71447,7.2
One Piece: Taose! Kaizoku Ganzack,"Action, Adventure, Fantasy",OVA,1,"Jul 26, 1998",37650,6.7
Koukaku Kidoutai: Stand Alone Complex,"Action, Award Winning, Sci-Fi",TV,26,"Oct 1, 2002 to Oct 1, 2003",385010,8.42
Innocence,"Award Winning, Sci-Fi",Movie,1,"Mar 6, 2004",156515,7.79
Karin,"Comedy, Romance, Supernatural",TV,24,"Nov 3, 2005 to May 11, 2006",174662,7.11
Okusama wa Joshikousei (TV),"Comedy, Drama, Romance",TV,13,"Jul 2, 2005 to Sep 24, 2005",27546,6.3
To Heart 2,"Comedy, Drama, Romance",TV,13,"Oct 4, 2005 to Jan 3, 2006",20776,6.51
To Heart,"Drama, Romance",TV,13,"Apr 2, 1999 to Jun 25, 1999",26497,6.6
Tide-Line Blue,"Action, Adventure, Drama",TV,12,"Jul 7, 2005 to Sep 29, 2005",7338,6.6
Macross Plus,"Drama, Romance, Sci-Fi",OVA,4,"Aug 25, 1994 to Jun 25, 1995",46189,7.71
Hotori: Tada Saiwai wo Koinegau,"Drama, Sci-Fi",Special,1,"Aug 28, 2005",6251,6.86
Ginban Kaleidoscope,"Drama, Romance, Sports, Supernatural",TV,12,"Oct 9, 2005 to Dec 25, 2005",48549,7.31
